sentence,place
I'm proceeding to the Factory,Factory
I'm proceeding to the Lab,Lab
I'm proceeding to the Radio station,Radio station
I'm proceeding to the Television studio,Television studio
I'm proceeding to the Office building,Office building
I'm proceeding to the Observatory,Observatory
I'm proceeding to the Underwater cave,Underwater cave
I'm proceeding to the Haunted house,Haunted house
I'm proceeding to the Winery,Winery
I'm proceeding to the Microbrewery,Microbrewery
I'm proceeding to the Planet,Planet
I'm proceeding to the Moon,Moon
I'm proceeding to the Sun,Sun
I'm proceeding to the Jupiter,Jupiter
I'm proceeding to the Forest,Forest
I'm proceeding to the Cabin,Cabin
I'm proceeding to the Rainforest,Rainforest
I'm proceeding to the Jungle,Jungle
I'm proceeding to the Wetland,Wetland
I'm proceeding to the Volcano,Volcano
I'm marching towards the Park,Park
I'm marching towards the Beach,Beach
I'm marching towards the Library,Library
I'm marching towards the Museum,Museum
I'm marching towards the Restaurant,Restaurant
I'm marching towards the Cafe,Cafe
I'm marching towards the Movie theater,Movie theater
I'm marching towards the Shopping mall,Shopping mall
I'm marching towards the Gym,Gym
I'm marching towards the School,School
I'm marching towards the Office,Office
I'm marching towards the Zoo,Zoo
I'm marching towards the Concert hall,Concert hall
I'm marching towards the Art gallery,Art gallery
I'm marching towards the Stadium,Stadium
I'm marching towards the Hospital,Hospital
I'm marching towards the Farm,Farm
I'm marching towards the Farm market,Farm market
I'm marching towards the Amusement park,Amusement park
I'm marching towards the Spa,Spa
I'm marching towards the Mountain,Mountain
I'm marching towards the Lake,Lake
I'm marching towards the River,River
I'm marching towards the Forest,Forest
I'm marching towards the Jungle,Jungle
I'm marching towards the Desert,Desert
I'm marching towards the Countryside,Countryside
I'm marching towards the City,City
I'm marching towards the Suburb,Suburb
I'm marching towards the Village,Village
I'm marching towards the Town,Town
I'm marching towards the Island,Island
I'm marching towards the Skyscraper,Skyscraper
I'm marching towards the Cinema,Cinema
I'm marching towards the Bookstore,Bookstore
I'm marching towards the Factory,Factory
I'm marching towards the Workshop,Workshop
I'm marching towards the Studio,Studio
I'm marching towards the Garden,Garden
I'm marching towards the Orchard,Orchard
I'm marching towards the Vineyard,Vineyard
I'm marching towards the Cemetery,Cemetery
I'm marching towards the Castle,Castle
I'm marching towards the Historical site,Historical site
I'm marching towards the Cave,Cave
I'm marching towards the Lighthouse,Lighthouse
I'm marching towards the Waterfall,Waterfall
I'm marching towards the Cruise ship,Cruise ship
I'm marching towards the Train station,Train station
I'm marching towards the Airport,Airport
I'm marching towards the Space station,Space station
I'm marching towards the Underground,Underground
I'm marching towards the Planetarium,Planetarium
I'm marching towards the Carnival,Carnival
I'm marching towards the Circus,Circus
I'm marching towards the Wildlife sanctuary,Wildlife sanctuary
I'm marching towards the Aquarium,Aquarium
I'm marching towards the Botanical garden,Botanical garden
I'm marching towards the Coffee shop,Coffee shop
I'm marching towards the Tea house,Tea house
I'm marching towards the Ice cream parlor,Ice cream parlor
I'm marching towards the Bakery,Bakery
I'm marching towards the Farmers' market,Farmers' market
I'm marching towards the Campground,Campground
I'm marching towards the Campsite,Campsite
I'm marching towards the Ski resort,Ski resort
I'm marching towards the Beach resort,Beach resort
I'm marching towards the Safari park,Safari park
I'm marching towards the Sculpture park,Sculpture park
I'm marching towards the University,University
I'm marching towards the College,College
I'm marching towards the Kindergarten,Kindergarten
I'm marching towards the Daycare,Daycare
I'm marching towards the Factory,Factory
I'm marching towards the Lab,Lab
I'm marching towards the Radio station,Radio station
I'm marching towards the Television studio,Television studio
I'm marching towards the Office building,Office building
I'm marching towards the Observatory,Observatory
I'm marching towards the Underwater cave,Underwater cave
I'm marching towards the Haunted house,Haunted house
I'm marching towards the Winery,Winery
I'm marching towards the Microbrewery,Microbrewery
I'm marching towards the Planet,Planet
I'm marching towards the Moon,Moon
I'm marching towards the Sun,Sun
I'm marching towards the Jupiter,Jupiter
I'm marching towards the Forest,Forest
I'm marching towards the Cabin,Cabin
I'm marching towards the Rainforest,Rainforest
I'm marching towards the Jungle,Jungle
I'm marching towards the Wetland,Wetland
I'm marching towards the Volcano,Volcano
I'm advancing towards the Park,Park
I'm advancing towards the Beach,Beach
I'm advancing towards the Library,Library
I'm advancing towards the Museum,Museum
I'm advancing towards the Restaurant,Restaurant
I'm advancing towards the Cafe,Cafe
I'm advancing towards the Movie theater,Movie theater
I'm advancing towards the Shopping mall,Shopping mall
I'm advancing towards the Gym,Gym
I'm advancing towards the School,School
I'm advancing towards the Office,Office
I'm advancing towards the Zoo,Zoo
I'm advancing towards the Concert hall,Concert hall
I'm advancing towards the Art gallery,Art gallery
I'm advancing towards the Stadium,Stadium
I'm advancing towards the Hospital,Hospital
I'm advancing towards the Farm,Farm
I'm advancing towards the Farm market,Farm market
I'm advancing towards the Amusement park,Amusement park
I'm advancing towards the Spa,Spa
I'm advancing towards the Mountain,Mountain
I'm advancing towards the Lake,Lake
I'm advancing towards the River,River
I'm advancing towards the Forest,Forest
I'm advancing towards the Jungle,Jungle
I'm advancing towards the Desert,Desert
I'm advancing towards the Countryside,Countryside
I'm advancing towards the City,City
I'm advancing towards the Suburb,Suburb
I'm advancing towards the Village,Village
I'm advancing towards the Town,Town
I'm advancing towards the Island,Island
I'm advancing towards the Skyscraper,Skyscraper
I'm advancing towards the Cinema,Cinema
I'm advancing towards the Bookstore,Bookstore
I'm advancing towards the Factory,Factory
I'm advancing towards the Workshop,Workshop
I'm advancing towards the Studio,Studio
I'm advancing towards the Garden,Garden
I'm advancing towards the Orchard,Orchard
I'm advancing towards the Vineyard,Vineyard
I'm advancing towards the Cemetery,Cemetery
I'm advancing towards the Castle,Castle
I'm advancing towards the Historical site,Historical site
I'm advancing towards the Cave,Cave
I'm advancing towards the Lighthouse,Lighthouse
I'm advancing towards the Waterfall,Waterfall
I'm advancing towards the Cruise ship,Cruise ship
I'm advancing towards the Train station,Train station
I'm advancing towards the Airport,Airport
I'm advancing towards the Space station,Space station
I'm advancing towards the Underground,Underground
I'm advancing towards the Planetarium,Planetarium
I'm advancing towards the Carnival,Carnival
I'm advancing towards the Circus,Circus
I'm advancing towards the Wildlife sanctuary,Wildlife sanctuary
I'm advancing towards the Aquarium,Aquarium
I'm advancing towards the Botanical garden,Botanical garden
I'm advancing towards the Coffee shop,Coffee shop
I'm advancing towards the Tea house,Tea house
I'm advancing towards the Ice cream parlor,Ice cream parlor
I'm advancing towards the Bakery,Bakery
I'm advancing towards the Farmers' market,Farmers' market
I'm advancing towards the Campground,Campground
I'm advancing towards the Campsite,Campsite
I'm advancing towards the Ski resort,Ski resort
I'm advancing towards the Beach resort,Beach resort
I'm advancing towards the Safari park,Safari park
I'm advancing towards the Sculpture park,Sculpture park
I'm advancing towards the University,University
I'm advancing towards the College,College
I'm advancing towards the Kindergarten,Kindergarten
I'm advancing towards the Daycare,Daycare
I'm advancing towards the Factory,Factory
I'm advancing towards the Lab,Lab
I'm advancing towards the Radio station,Radio station
I'm advancing towards the Television studio,Television studio
I'm advancing towards the Office building,Office building
I'm advancing towards the Observatory,Observatory
I'm advancing towards the Underwater cave,Underwater cave
I'm advancing towards the Haunted house,Haunted house
I'm advancing towards the Winery,Winery
I'm advancing towards the Microbrewery,Microbrewery
I'm advancing towards the Planet,Planet
I'm advancing towards the Moon,Moon
I'm advancing towards the Sun,Sun
I'm advancing towards the Jupiter,Jupiter
I'm advancing towards the Forest,Forest
I'm advancing towards the Cabin,Cabin
I'm advancing towards the Rainforest,Rainforest
I'm advancing towards the Jungle,Jungle
I'm advancing towards the Wetland,Wetland
I'm advancing towards the Volcano,Volcano
I'm navigating towards the Park,Park
I'm navigating towards the Beach,Beach
I'm navigating towards the Library,Library
I'm navigating towards the Museum,Museum
I'm navigating towards the Restaurant,Restaurant
I'm navigating towards the Cafe,Cafe
I'm navigating towards the Movie theater,Movie theater
I'm navigating towards the Shopping mall,Shopping mall
I'm navigating towards the Gym,Gym
I'm navigating towards the School,School
I'm navigating towards the Office,Office
I'm navigating towards the Zoo,Zoo
I'm navigating towards the Concert hall,Concert hall
I'm navigating towards the Art gallery,Art gallery
I'm navigating towards the Stadium,Stadium
I'm navigating towards the Hospital,Hospital
I'm navigating towards the Farm,Farm
I'm navigating towards the Farm market,Farm market
I'm navigating towards the Amusement park,Amusement park
I'm navigating towards the Spa,Spa
I'm navigating towards the Mountain,Mountain
I'm navigating towards the Lake,Lake
I'm navigating towards the River,River
I'm navigating towards the Forest,Forest
I'm navigating towards the Jungle,Jungle
I'm navigating towards the Desert,Desert
I'm navigating towards the Countryside,Countryside
I'm navigating towards the City,City
I'm navigating towards the Suburb,Suburb
I'm navigating towards the Village,Village
I'm navigating towards the Town,Town
I'm navigating towards the Island,Island
I'm navigating towards the Skyscraper,Skyscraper
I'm navigating towards the Cinema,Cinema
I'm navigating towards the Bookstore,Bookstore
I'm navigating towards the Factory,Factory
I'm navigating towards the Workshop,Workshop
I'm navigating towards the Studio,Studio
I'm navigating towards the Garden,Garden
I'm navigating towards the Orchard,Orchard
I'm navigating towards the Vineyard,Vineyard
I'm navigating towards the Cemetery,Cemetery
I'm navigating towards the Castle,Castle
I'm navigating towards the Historical site,Historical site
I'm navigating towards the Cave,Cave
I'm navigating towards the Lighthouse,Lighthouse
I'm navigating towards the Waterfall,Waterfall
I'm navigating towards the Cruise ship,Cruise ship
I'm navigating towards the Train station,Train station
I'm navigating towards the Airport,Airport
I'm navigating towards the Space station,Space station
I'm navigating towards the Underground,Underground
I'm navigating towards the Planetarium,Planetarium
I'm navigating towards the Carnival,Carnival
I'm navigating towards the Circus,Circus
I'm navigating towards the Wildlife sanctuary,Wildlife sanctuary
I'm navigating towards the Aquarium,Aquarium
I'm navigating towards the Botanical garden,Botanical garden
I'm navigating towards the Coffee shop,Coffee shop
I'm navigating towards the Tea house,Tea house
I'm navigating towards the Ice cream parlor,Ice cream parlor
I'm navigating towards the Bakery,Bakery
I'm navigating towards the Farmers' market,Farmers' market
I'm navigating towards the Campground,Campground
I'm navigating towards the Campsite,Campsite
I'm navigating towards the Ski resort,Ski resort
I'm navigating towards the Beach resort,Beach resort
I'm navigating towards the Safari park,Safari park
I'm navigating towards the Sculpture park,Sculpture park
I'm navigating towards the University,University
I'm navigating towards the College,College
I'm navigating towards the Kindergarten,Kindergarten
I'm navigating towards the Daycare,Daycare
I'm navigating towards the Factory,Factory
I'm navigating towards the Lab,Lab
I'm navigating towards the Radio station,Radio station
I'm navigating towards the Television studio,Television studio
I'm navigating towards the Office building,Office building
I'm navigating towards the Observatory,Observatory
I'm navigating towards the Underwater cave,Underwater cave
I'm navigating towards the Haunted house,Haunted house
I'm navigating towards the Winery,Winery
I'm navigating towards the Microbrewery,Microbrewery
I'm navigating towards the Planet,Planet
I'm navigating towards the Moon,Moon
I'm navigating towards the Sun,Sun
I'm navigating towards the Jupiter,Jupiter
